,City,LocType,NO2,SO2,Sampling.Date,State
183,Hyderabad,Sensitive Area,17.8,4.4,2007-09-07,Andhra Pradesh
184,Hyderabad,Sensitive Area,16.8,4.9,2007-11-07,Andhra Pradesh
185,Hyderabad,Sensitive Area,16.6,4.7,2007-03-08,Andhra Pradesh
186,Hyderabad,Sensitive Area,24.0,4.9,2007-05-08,Andhra Pradesh
187,Hyderabad,Sensitive Area,11.9,4.7,2007-09-08,Andhra Pradesh
188,Hyderabad,Sensitive Area,15.9,4.7,2007-11-08,Andhra Pradesh
189,Hyderabad,Sensitive Area,15.7,4.7,2007-03-09,Andhra Pradesh
190,Hyderabad,Sensitive Area,16.6,4.9,2007-05-09,Andhra Pradesh
191,Hyderabad,Sensitive Area,16.5,4.7,2007-09-09,Andhra Pradesh
192,Hyderabad,Sensitive Area,14.9,4.9,2007-11-09,Andhra Pradesh
193,Hyderabad,Sensitive Area,14.5,4.7,2007-03-10,Andhra Pradesh
194,Hyderabad,Sensitive Area,16.4,4.7,2007-05-10,Andhra Pradesh
195,Hyderabad,Sensitive Area,16.8,4.7,2007-09-10,Andhra Pradesh
196,Hyderabad,Sensitive Area,16.1,4.7,2007-11-10,Andhra Pradesh
197,Hyderabad,Sensitive Area,13.6,4.9,2007-03-11,Andhra Pradesh
198,Hyderabad,Sensitive Area,16.1,4.7,2007-05-11,Andhra Pradesh
199,Hyderabad,Sensitive Area,16.8,4.9,2007-09-11,Andhra Pradesh
200,Hyderabad,Sensitive Area,16.6,4.7,2007-11-11,Andhra Pradesh
201,Hyderabad,Sensitive Area,17.0,4.7,2007-03-12,Andhra Pradesh
202,Hyderabad,Sensitive Area,17.7,4.7,2007-05-12,Andhra Pradesh
203,Hyderabad,Sensitive Area,17.0,4.7,2007-09-12,Andhra Pradesh
204,Hyderabad,Sensitive Area,16.3,4.7,2007-11-12,Andhra Pradesh
205,Hyderabad,Sensitive Area,16.4,4.8,2008-03-01,Andhra Pradesh
206,Hyderabad,Sensitive Area,16.6,5.0,2008-05-01,Andhra Pradesh
207,Hyderabad,Sensitive Area,16.7,5.0,2008-09-01,Andhra Pradesh
208,Hyderabad,Sensitive Area,15.8,4.8,2008-11-01,Andhra Pradesh
209,Hyderabad,Sensitive Area,15.9,5.0,2008-01-17,Andhra Pradesh
210,Hyderabad,Sensitive Area,16.6,4.9,2008-01-21,Andhra Pradesh
211,Hyderabad,Sensitive Area,17.7,5.0,2008-01-23,Andhra Pradesh
212,Hyderabad,Sensitive Area,16.9,4.8,2008-01-27,Andhra Pradesh
213,Hyderabad,Sensitive Area,16.5,4.6,2008-01-29,Andhra Pradesh
214,Hyderabad,Sensitive Area,15.2,5.1,2008-03-02,Andhra Pradesh
215,Hyderabad,Sensitive Area,15.1,5.1,2008-05-02,Andhra Pradesh
216,Hyderabad,Sensitive Area,15.9,5.0,2008-09-02,Andhra Pradesh
217,Hyderabad,Sensitive Area,16.6,5.1,2008-11-02,Andhra Pradesh
218,Hyderabad,Sensitive Area,16.1,5.0,2008-02-15,Andhra Pradesh
219,Hyderabad,Sensitive Area,15.5,5.0,2008-02-17,Andhra Pradesh
220,Hyderabad,Sensitive Area,17.3,5.0,2008-02-21,Andhra Pradesh
221,Hyderabad,Sensitive Area,15.8,4.9,2008-02-23,Andhra Pradesh
222,Hyderabad,Sensitive Area,16.5,5.0,2008-02-26,Andhra Pradesh
223,Hyderabad,Sensitive Area,17.0,5.0,2008-03-03,Andhra Pradesh
224,Hyderabad,Sensitive Area,15.4,4.9,2008-05-03,Andhra Pradesh
225,Hyderabad,Sensitive Area,14.9,5.0,2008-09-03,Andhra Pradesh
226,Hyderabad,Sensitive Area,18.0,4.8,2008-11-03,Andhra Pradesh
227,Hyderabad,Sensitive Area,15.2,4.3,2008-03-15,Andhra Pradesh
228,Hyderabad,Sensitive Area,15.9,4.6,2008-03-17,Andhra Pradesh
229,Hyderabad,Sensitive Area,16.5,4.7,2008-03-21,Andhra Pradesh
230,Hyderabad,Sensitive Area,16.2,4.7,2008-03-27,Andhra Pradesh
231,Hyderabad,Sensitive Area,16.1,4.6,2008-03-29,Andhra Pradesh
232,Hyderabad,Sensitive Area,15.4,4.8,2008-03-04,Andhra Pradesh
233,Hyderabad,Sensitive Area,16.6,4.5,2008-05-04,Andhra Pradesh
234,Hyderabad,Sensitive Area,16.7,4.7,2008-09-04,Andhra Pradesh
235,Hyderabad,Sensitive Area,17.1,4.5,2008-11-04,Andhra Pradesh
236,Hyderabad,Sensitive Area,16.6,4.7,2008-04-15,Andhra Pradesh
237,Hyderabad,Sensitive Area,17.3,4.8,2008-04-17,Andhra Pradesh
238,Hyderabad,Sensitive Area,17.1,4.8,2008-04-21,Andhra Pradesh
239,Hyderabad,Sensitive Area,17.5,4.9,2008-04-23,Andhra Pradesh
240,Hyderabad,Sensitive Area,17.5,4.9,2008-04-27,Andhra Pradesh
241,Hyderabad,Sensitive Area,17.8,5.2,2008-03-05,Andhra Pradesh
242,Hyderabad,Sensitive Area,18.4,5.0,2008-05-05,Andhra Pradesh
243,Hyderabad,Sensitive Area,17.8,4.7,2008-09-05,Andhra Pradesh
244,Hyderabad,Sensitive Area,17.3,5.0,2008-11-05,Andhra Pradesh
245,Hyderabad,Sensitive Area,17.5,5.0,2008-05-15,Andhra Pradesh
246,Hyderabad,Sensitive Area,17.3,5.2,2008-05-17,Andhra Pradesh
247,Hyderabad,Sensitive Area,17.0,5.1,2008-05-21,Andhra Pradesh
248,Hyderabad,Sensitive Area,17.2,5.0,2008-05-23,Andhra Pradesh
249,Hyderabad,Sensitive Area,17.1,5.2,2008-05-27,Andhra Pradesh
250,Hyderabad,Sensitive Area,16.8,5.0,2008-03-06,Andhra Pradesh
251,Hyderabad,Sensitive Area,16.5,4.6,2008-05-06,Andhra Pradesh
252,Hyderabad,Sensitive Area,16.7,4.5,2008-09-06,Andhra Pradesh
253,Hyderabad,Sensitive Area,17.8,4.6,2008-11-06,Andhra Pradesh
