,Unnamed: 0,City,LocType,NO2,SO2,Sampling.Date,State,Scale_SO2,Scale_NO2
129,129,Hyderabad,Sensitive Area,14.8,4.7,2007-07-17,Andhra Pradesh,0.06359945872801083,0.014034040011943865
130,130,Hyderabad,Sensitive Area,13.9,4.5,2007-07-23,Andhra Pradesh,0.06089309878213802,0.013436846819946254
131,131,Hyderabad,Sensitive Area,16.2,4.9,2007-07-27,Andhra Pradesh,0.06630581867388363,0.014631233203941477
132,132,Hyderabad,Sensitive Area,13.1,4.7,2007-07-29,Andhra Pradesh,0.06359945872801083,0.014034040011943865
133,133,Hyderabad,Sensitive Area,16.9,4.7,2007-08-17,Andhra Pradesh,0.06359945872801083,0.014034040011943865
134,134,Hyderabad,Sensitive Area,17.5,4.7,2007-08-21,Andhra Pradesh,0.06359945872801083,0.014034040011943865
135,135,Hyderabad,Sensitive Area,15.2,4.7,2007-08-23,Andhra Pradesh,0.06359945872801083,0.014034040011943865
136,136,Hyderabad,Sensitive Area,15.0,4.7,2007-08-27,Andhra Pradesh,0.06359945872801083,0.014034040011943865
137,137,Hyderabad,Sensitive Area,17.2,4.7,2007-08-29,Andhra Pradesh,0.06359945872801083,0.014034040011943865
138,138,Hyderabad,Sensitive Area,16.7,4.7,2007-09-15,Andhra Pradesh,0.06359945872801083,0.014034040011943865
139,139,Hyderabad,Sensitive Area,15.9,4.7,2007-09-17,Andhra Pradesh,0.06359945872801083,0.014034040011943865
140,140,Hyderabad,Sensitive Area,16.1,4.8,2007-09-21,Andhra Pradesh,0.06495263870094722,0.01433263660794267
141,141,Hyderabad,Sensitive Area,16.2,4.9,2007-09-23,Andhra Pradesh,0.06630581867388363,0.014631233203941477
142,142,Hyderabad,Sensitive Area,16.8,4.7,2007-09-27,Andhra Pradesh,0.06359945872801083,0.014034040011943865
143,143,Hyderabad,Sensitive Area,16.1,4.9,2007-10-15,Andhra Pradesh,0.06630581867388363,0.014631233203941477
144,144,Hyderabad,Sensitive Area,17.2,4.9,2007-10-17,Andhra Pradesh,0.06630581867388363,0.014631233203941477
145,145,Hyderabad,Sensitive Area,17.5,4.9,2007-10-20,Andhra Pradesh,0.06630581867388363,0.014631233203941477
146,146,Hyderabad,Sensitive Area,16.5,4.7,2007-10-23,Andhra Pradesh,0.06359945872801083,0.014034040011943865
147,147,Hyderabad,Sensitive Area,16.7,4.7,2007-10-27,Andhra Pradesh,0.06359945872801083,0.014034040011943865
148,148,Hyderabad,Sensitive Area,20.7,4.9,2007-11-15,Andhra Pradesh,0.06630581867388363,0.014631233203941477
149,149,Hyderabad,Sensitive Area,16.2,4.7,2007-11-17,Andhra Pradesh,0.06359945872801083,0.014034040011943865
150,150,Hyderabad,Sensitive Area,16.2,4.7,2007-11-21,Andhra Pradesh,0.06359945872801083,0.014034040011943865
151,151,Hyderabad,Sensitive Area,16.9,4.7,2007-11-23,Andhra Pradesh,0.06359945872801083,0.014034040011943865
152,152,Hyderabad,Sensitive Area,18.5,4.7,2007-11-27,Andhra Pradesh,0.06359945872801083,0.014034040011943865
153,153,Hyderabad,Sensitive Area,17.2,4.7,2007-12-15,Andhra Pradesh,0.06359945872801083,0.014034040011943865
154,154,Hyderabad,Sensitive Area,16.7,4.9,2007-12-17,Andhra Pradesh,0.06630581867388363,0.014631233203941477
155,155,Hyderabad,Sensitive Area,17.0,4.9,2007-12-21,Andhra Pradesh,0.06630581867388363,0.014631233203941477
156,156,Hyderabad,Sensitive Area,16.7,5.0,2007-12-27,Andhra Pradesh,0.06765899864682003,0.014929829799940281
157,157,Hyderabad,Sensitive Area,16.5,4.7,2007-12-29,Andhra Pradesh,0.06359945872801083,0.014034040011943865
158,158,Hyderabad,Sensitive Area,21.2,4.6,2007-03-01,Andhra Pradesh,0.062246278755074415,0.013735443415945058
159,159,Hyderabad,Sensitive Area,24.4,4.5,2007-05-01,Andhra Pradesh,0.06089309878213802,0.013436846819946254
160,160,Hyderabad,Sensitive Area,56.9,5.6,2007-08-01,Andhra Pradesh,0.07577807848443842,0.016721409375933114
161,161,Hyderabad,Sensitive Area,15.9,4.4,2007-09-01,Andhra Pradesh,0.05953991880920163,0.01313825022394745
162,162,Hyderabad,Sensitive Area,16.2,5.0,2007-11-01,Andhra Pradesh,0.06765899864682003,0.014929829799940281
163,163,Hyderabad,Sensitive Area,18.3,4.4,2007-03-02,Andhra Pradesh,0.05953991880920163,0.01313825022394745
164,164,Hyderabad,Sensitive Area,16.6,5.2,2007-09-02,Andhra Pradesh,0.07036535859269283,0.015527022991937893
165,165,Hyderabad,Sensitive Area,17.6,4.3,2007-11-02,Andhra Pradesh,0.05818673883626522,0.012839653627948642
166,166,Hyderabad,Sensitive Area,16.2,4.6,2007-05-03,Andhra Pradesh,0.062246278755074415,0.013735443415945058
167,167,Hyderabad,Sensitive Area,16.6,4.8,2007-09-03,Andhra Pradesh,0.06495263870094722,0.01433263660794267
168,168,Hyderabad,Sensitive Area,17.5,4.8,2007-11-03,Andhra Pradesh,0.06495263870094722,0.01433263660794267
169,169,Hyderabad,Sensitive Area,14.0,4.7,2007-03-04,Andhra Pradesh,0.06359945872801083,0.014034040011943865
170,170,Hyderabad,Sensitive Area,16.0,4.8,2007-05-04,Andhra Pradesh,0.06495263870094722,0.01433263660794267
171,171,Hyderabad,Sensitive Area,17.7,4.8,2007-09-04,Andhra Pradesh,0.06495263870094722,0.01433263660794267
172,172,Hyderabad,Sensitive Area,17.3,5.0,2007-11-04,Andhra Pradesh,0.06765899864682003,0.014929829799940281
173,173,Hyderabad,Sensitive Area,25.0,5.5,2007-03-05,Andhra Pradesh,0.07442489851150202,0.01642281277993431
174,174,Hyderabad,Sensitive Area,17.8,4.9,2007-05-05,Andhra Pradesh,0.06630581867388363,0.014631233203941477
175,175,Hyderabad,Sensitive Area,17.4,4.9,2007-09-05,Andhra Pradesh,0.06630581867388363,0.014631233203941477
176,176,Hyderabad,Sensitive Area,17.0,4.7,2007-11-05,Andhra Pradesh,0.06359945872801083,0.014034040011943865
177,177,Hyderabad,Sensitive Area,15.8,4.7,2007-03-06,Andhra Pradesh,0.06359945872801083,0.014034040011943865
